fly_time:3.5321, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1116
fly_time:3.5507, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1143
fly_time:3.57, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1172
fly_time:3.5909, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1202
fly_time:3.6105, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1223
fly_time:3.6317, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1257
fly_time:3.6511, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1284
fly_time:3.6702, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1323
fly_time:3.6914, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.134
fly_time:3.7111, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1381
fly_time:3.7316, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1415
fly_time:3.7514, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1457
fly_time:3.7712, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1502
fly_time:3.7909, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1537
fly_time:3.8102, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1583
fly_time:3.8318, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1659
fly_time:3.8514, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1711
fly_time:3.8709, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1759
fly_time:3.8907, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1813
fly_time:3.9117, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1876
fly_time:3.9321, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1934
fly_time:3.9505, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.1994
fly_time:3.9713, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.2052
fly_time:3.9924, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.211
fly_time:4.0114, notolsr:0, recvcountgt:1469, recvcount:4099, z-index:0.2131
fly_time:4.0315, notolsr:0, recvcountgt:1470, recvcount:7867, z-index:0.2185
fly_time:4.0507, notolsr:0, recvcountgt:1470, recvcount:7867, z-index:0.2231
fly_time:4.0704, notolsr:0, recvcountgt:1470, recvcount:7867, z-index:0.2285
